,0
0,497214.33702306054
1,278734.4450758251
2,953903.9075043213
3,644502.5182349889
4,139521.62388727756
5,660981.783869408
6,744239.123986926
7,1047072.2358311806
8,345375.52522225666
9,124766.4349666767
10,490303.11398930545
11,137933.82857239473
12,158475.24256938987
13,1004518.29055196
14,298397.3621640254
15,470453.6000902861
16,440318.40711523336
17,588144.94267651
18,494164.851470749
19,923953.0542350037
20,1858141.0730345552
21,699812.9078409792
22,205594.79559415544
23,365707.9360305724
24,542739.8746281336
25,113462.47574730485
26,269656.42703216133
27,715812.1682843645
28,561697.9469524302
29,542486.7921435565
30,301456.62020720134
31,629376.2427426449
32,499655.81449907704
33,796560.6841454942
34,166035.79174098407
35,322773.5468373486
36,11031.518798305537
37,411116.73283402517
38,402158.46413585753
39,475244.5517584133
40,389755.16060958384
41,121445.18674969557
42,1825978.7260202079
43,403296.9973500569
44,685701.2381100953
45,503630.13173217804
46,513287.2086747023
47,233842.38097691623
48,595264.3831277051
49,593948.0167493685
50,805905.1461729518
51,207082.41379587783
52,384726.40011386806
53,1312729.1756742513
54,618806.3509972531
55,559162.4068967446
56,626986.6261236215
57,391009.70158721413
58,280542.0902126918
59,422192.87672879803
60,13729.665371935116
61,984492.2099352463
62,263780.2045508062
63,460545.05527500215
64,349190.5524440964
65,448210.34808635607
66,601252.3047692936
67,197973.26654361183
68,464519.60668281885
69,929551.1696480112
70,71708.01417157828
71,877268.5656252657
72,475213.0444131744
73,1151303.0935312707
74,627481.8564452261
75,229372.6834633039
76,881700.9082022482
77,386473.6760909803
78,1637475.908326854
79,356415.74834901
80,386714.04568896804
81,1098544.8653380496
82,364613.05677307036
83,847324.4005438604
84,928518.3504444722
85,1738770.2751321818
86,604010.1947729284
87,758070.6672522465
88,464660.66918899096
89,650174.7712251382
90,1299488.3130521753
91,737574.0156973664
92,121973.61895895301
93,722241.272966478
94,402236.13080952875
95,349152.22605506436
96,319215.9941218052
97,99030.75121872773
98,434040.5903705488
99,1053392.3833059904
100,725935.3023385148
101,342013.23084387067
102,287569.2285324275
103,415202.28580365924
104,561055.9774604886
105,792693.1766611545
106,483810.5715990444
107,1368666.1006413472
108,-54546.039929857856
109,325540.28340932156
110,465422.99705896014
111,403354.84590046015
112,466513.88464294386
113,319782.44394384394
114,694958.2168390836
115,24252.652007484838
116,1947189.784689175
117,505982.5656550394
118,405651.4581686036
119,659604.9506541233
